Country,Year,Week,SDATE,EDATE,INF_A,INF_B,ALL_INF
Cuba,2009,1,2008-12-29,2009-01-04,0.0,0.0,0.0
Cuba,2009,2,2009-01-05,2009-01-11,0.0,0.0,0.0
Cuba,2009,3,2009-01-12,2009-01-18,0.0,0.0,0.0
Cuba,2009,4,2009-01-19,2009-01-25,0.0,0.0,0.0
Cuba,2009,5,2009-01-26,2009-02-01,0.0,0.0,0.0
Cuba,2009,6,2009-02-02,2009-02-08,0.0,0.0,0.0
Cuba,2009,7,2009-02-09,2009-02-15,0.0,0.0,0.0
Cuba,2009,8,2009-02-16,2009-02-22,0.0,0.0,0.0
Cuba,2009,9,2009-02-23,2009-03-01,0.0,0.0,0.0
Cuba,2009,10,2009-03-02,2009-03-08,0.0,0.0,0.0
Cuba,2009,11,2009-03-09,2009-03-15,0.0,0.0,0.0
Cuba,2009,12,2009-03-16,2009-03-22,1.0,0.0,1.0
Cuba,2009,13,2009-03-23,2009-03-29,0.0,0.0,0.0
Cuba,2009,14,2009-03-30,2009-04-05,0.0,0.0,0.0
Cuba,2009,15,2009-04-06,2009-04-12,0.0,0.0,0.0
Cuba,2009,16,2009-04-13,2009-04-19,0.0,3.0,3.0
Cuba,2009,17,2009-04-20,2009-04-26,0.0,1.0,1.0
Cuba,2009,18,2009-04-27,2009-05-03,5.0,4.0,9.0
Cuba,2009,19,2009-05-04,2009-05-10,5.0,6.0,11.0
Cuba,2009,20,2009-05-11,2009-05-17,11.0,1.0,12.0
Cuba,2009,21,2009-05-18,2009-05-24,6.0,1.0,7.0
Cuba,2009,22,2009-05-25,2009-05-31,12.0,0.0,12.0
Cuba,2009,23,2009-06-01,2009-06-07,15.0,0.0,15.0
Cuba,2009,24,2009-06-08,2009-06-14,32.0,1.0,33.0
Cuba,2009,25,2009-06-15,2009-06-21,64.0,0.0,64.0
Cuba,2009,26,2009-06-22,2009-06-28,59.0,0.0,59.0
Cuba,2009,27,2009-06-29,2009-07-05,56.0,0.0,56.0
Cuba,2009,28,2009-07-06,2009-07-12,48.0,3.0,51.0
Cuba,2009,29,2009-07-13,2009-07-19,33.0,2.0,35.0
Cuba,2009,30,2009-07-20,2009-07-26,33.0,2.0,35.0
Cuba,2009,31,2009-07-27,2009-08-02,40.0,4.0,44.0
Cuba,2009,32,2009-08-03,2009-08-09,23.0,1.0,24.0
Cuba,2009,33,2009-08-10,2009-08-16,22.0,0.0,22.0
Cuba,2009,34,2009-08-17,2009-08-23,46.0,0.0,46.0
Cuba,2009,35,2009-08-24,2009-08-30,20.0,0.0,20.0
Cuba,2009,36,2009-08-31,2009-09-06,4.0,0.0,4.0
Cuba,2009,37,2009-09-07,2009-09-13,13.0,0.0,13.0
Cuba,2009,38,2009-09-14,2009-09-20,22.0,0.0,22.0
Cuba,2009,39,2009-09-21,2009-09-27,151.0,0.0,151.0
Cuba,2009,40,2009-09-28,2009-10-04,111.0,0.0,111.0
Cuba,2009,41,2009-10-05,2009-10-11,238.0,0.0,238.0
Cuba,2009,42,2009-10-12,2009-10-18,65.0,0.0,65.0
Cuba,2009,43,2009-10-19,2009-10-25,64.0,0.0,64.0
Cuba,2009,44,2009-10-26,2009-11-01,88.0,0.0,88.0
Cuba,2009,45,2009-11-02,2009-11-08,38.0,0.0,38.0
Cuba,2009,46,2009-11-09,2009-11-15,21.0,0.0,21.0
Cuba,2009,47,2009-11-16,2009-11-22,24.0,0.0,24.0
Cuba,2009,48,2009-11-23,2009-11-29,42.0,0.0,42.0
Cuba,2009,49,2009-11-30,2009-12-06,8.0,0.0,8.0
Cuba,2009,50,2009-12-07,2009-12-13,2.0,0.0,2.0
Cuba,2009,51,2009-12-14,2009-12-20,7.0,0.0,7.0
Cuba,2009,52,2009-12-21,2009-12-27,1.0,0.0,1.0
Cuba,2009,53,2009-12-28,2010-01-03,,,
Cuba,2010,1,2010-01-04,2010-01-10,8.0,0.0,8.0
Cuba,2010,2,2010-01-11,2010-01-17,7.0,0.0,7.0
Cuba,2010,3,2010-01-18,2010-01-24,3.0,0.0,3.0
Cuba,2010,4,2010-01-25,2010-01-31,4.0,0.0,4.0
Cuba,2010,5,2010-02-01,2010-02-07,7.0,0.0,7.0
Cuba,2010,6,2010-02-08,2010-02-14,5.0,0.0,5.0
Cuba,2010,7,2010-02-15,2010-02-21,5.0,0.0,5.0
Cuba,2010,8,2010-02-22,2010-02-28,15.0,0.0,15.0
Cuba,2010,9,2010-03-01,2010-03-07,10.0,0.0,10.0
Cuba,2010,10,2010-03-08,2010-03-14,10.0,0.0,10.0
Cuba,2010,11,2010-03-15,2010-03-21,21.0,0.0,21.0
Cuba,2010,12,2010-03-22,2010-03-28,35.0,0.0,35.0
Cuba,2010,13,2010-03-29,2010-04-04,66.0,0.0,66.0
Cuba,2010,14,2010-04-05,2010-04-11,83.0,0.0,83.0
Cuba,2010,15,2010-04-12,2010-04-18,96.0,0.0,96.0
Cuba,2010,16,2010-04-19,2010-04-25,66.0,0.0,66.0
Cuba,2010,17,2010-04-26,2010-05-02,63.0,3.0,66.0
Cuba,2010,18,2010-05-03,2010-05-09,63.0,4.0,67.0
Cuba,2010,19,2010-05-10,2010-05-16,75.0,5.0,80.0
Cuba,2010,20,2010-05-17,2010-05-23,42.0,4.0,46.0
Cuba,2010,21,2010-05-24,2010-05-30,42.0,3.0,45.0
Cuba,2010,22,2010-05-31,2010-06-06,18.0,2.0,20.0
Cuba,2010,23,2010-06-07,2010-06-13,30.0,0.0,30.0
Cuba,2010,24,2010-06-14,2010-06-20,9.0,0.0,9.0
Cuba,2010,25,2010-06-21,2010-06-27,32.0,0.0,32.0
Cuba,2010,26,2010-06-28,2010-07-04,6.0,0.0,6.0
Cuba,2010,27,2010-07-05,2010-07-11,12.0,0.0,12.0
Cuba,2010,28,2010-07-12,2010-07-18,9.0,1.0,10.0
Cuba,2010,29,2010-07-19,2010-07-25,13.0,0.0,13.0
Cuba,2010,30,2010-07-26,2010-08-01,31.0,1.0,32.0
Cuba,2010,31,2010-08-02,2010-08-08,25.0,0.0,25.0
Cuba,2010,32,2010-08-09,2010-08-15,29.0,6.0,35.0
Cuba,2010,33,2010-08-16,2010-08-22,33.0,1.0,34.0
Cuba,2010,34,2010-08-23,2010-08-29,23.0,1.0,24.0
Cuba,2010,35,2010-08-30,2010-09-05,20.0,0.0,20.0
Cuba,2010,36,2010-09-06,2010-09-12,24.0,2.0,26.0
Cuba,2010,37,2010-09-13,2010-09-19,36.0,3.0,39.0
Cuba,2010,38,2010-09-20,2010-09-26,20.0,7.0,27.0
Cuba,2010,39,2010-09-27,2010-10-03,12.0,4.0,16.0
Cuba,2010,40,2010-10-04,2010-10-10,15.0,5.0,20.0
Cuba,2010,41,2010-10-11,2010-10-17,11.0,2.0,13.0
Cuba,2010,42,2010-10-18,2010-10-24,14.0,2.0,16.0
Cuba,2010,43,2010-10-25,2010-10-31,15.0,1.0,16.0
Cuba,2010,44,2010-11-01,2010-11-07,25.0,4.0,29.0
Cuba,2010,45,2010-11-08,2010-11-14,15.0,0.0,15.0
Cuba,2010,46,2010-11-15,2010-11-21,8.0,1.0,9.0
Cuba,2010,47,2010-11-22,2010-11-28,1.0,1.0,2.0
Cuba,2010,48,2010-11-29,2010-12-05,4.0,1.0,5.0
Cuba,2010,49,2010-12-06,2010-12-12,2.0,1.0,3.0
Cuba,2010,50,2010-12-13,2010-12-19,7.0,4.0,11.0
Cuba,2010,51,2010-12-20,2010-12-26,5.0,1.0,6.0
Cuba,2010,52,2010-12-27,2011-01-02,1.0,0.0,1.0
Cuba,2011,1,2011-01-03,2011-01-09,3.0,0.0,3.0
Cuba,2011,2,2011-01-10,2011-01-16,4.0,0.0,4.0
Cuba,2011,3,2011-01-17,2011-01-23,5.0,0.0,5.0
Cuba,2011,4,2011-01-24,2011-01-30,10.0,0.0,10.0
Cuba,2011,5,2011-01-31,2011-02-06,0.0,0.0,0.0
Cuba,2011,6,2011-02-07,2011-02-13,2.0,1.0,3.0
Cuba,2011,7,2011-02-14,2011-02-20,6.0,0.0,6.0
Cuba,2011,8,2011-02-21,2011-02-27,4.0,0.0,4.0
Cuba,2011,9,2011-02-28,2011-03-06,9.0,0.0,9.0
Cuba,2011,10,2011-03-07,2011-03-13,2.0,0.0,2.0
Cuba,2011,11,2011-03-14,2011-03-20,5.0,0.0,5.0
Cuba,2011,12,2011-03-21,2011-03-27,2.0,0.0,2.0
Cuba,2011,13,2011-03-28,2011-04-03,2.0,,2.0
Cuba,2011,14,2011-04-04,2011-04-10,6.0,,6.0
Cuba,2011,15,2011-04-11,2011-04-17,0.0,,0.0
Cuba,2011,16,2011-04-18,2011-04-24,2.0,,2.0
Cuba,2011,17,2011-04-25,2011-05-01,1.0,,1.0
Cuba,2011,18,2011-05-02,2011-05-08,0.0,,0.0
Cuba,2011,19,2011-05-09,2011-05-15,2.0,,2.0
Cuba,2011,20,2011-05-16,2011-05-22,1.0,,1.0
Cuba,2011,21,2011-05-23,2011-05-29,0.0,,0.0
Cuba,2011,22,2011-05-30,2011-06-05,0.0,,0.0
Cuba,2011,23,2011-06-06,2011-06-12,2.0,,2.0
Cuba,2011,24,2011-06-13,2011-06-19,3.0,,3.0
Cuba,2011,25,2011-06-20,2011-06-26,1.0,,1.0
Cuba,2011,26,2011-06-27,2011-07-03,2.0,,2.0
Cuba,2011,27,2011-07-04,2011-07-10,2.0,,2.0
Cuba,2011,28,2011-07-11,2011-07-17,0.0,,0.0
Cuba,2011,29,2011-07-18,2011-07-24,14.0,,14.0
Cuba,2011,30,2011-07-25,2011-07-31,5.0,,5.0
Cuba,2011,31,2011-08-01,2011-08-07,20.0,,20.0
Cuba,2011,32,2011-08-08,2011-08-14,14.0,,14.0
Cuba,2011,33,2011-08-15,2011-08-21,20.0,,20.0
Cuba,2011,34,2011-08-22,2011-08-28,25.0,,25.0
Cuba,2011,35,2011-08-29,2011-09-04,28.0,,28.0
Cuba,2011,36,2011-09-05,2011-09-11,31.0,,31.0
Cuba,2011,37,2011-09-12,2011-09-18,54.0,,54.0
Cuba,2011,38,2011-09-19,2011-09-25,30.0,,30.0
Cuba,2011,39,2011-09-26,2011-10-02,15.0,,15.0
Cuba,2011,40,2011-10-03,2011-10-09,7.0,0.0,7.0
Cuba,2011,41,2011-10-10,2011-10-16,2.0,0.0,2.0
Cuba,2011,42,2011-10-17,2011-10-23,2.0,0.0,2.0
Cuba,2011,43,2011-10-24,2011-10-30,3.0,0.0,3.0
Cuba,2011,44,2011-10-31,2011-11-06,1.0,0.0,1.0
Cuba,2011,45,2011-11-07,2011-11-13,1.0,2.0,3.0
